Індекс дня,Сторінок за сеанс
"16.08.22,""5,46"""
"17.08.22,""5,48"""
"18.08.22,""5,23"""
"19.08.22,""6,05"""
"20.08.22,""4,87"""
"21.08.22,""4,57"""
"22.08.22,""5,45"""
"23.08.22,""5,36"""
"24.08.22,""5,48"""
"25.08.22,""5,44"""
"26.08.22,""6,04"""
"27.08.22,""4,37"""
"28.08.22,""5,01"""
"29.08.22,""5,63"""
"30.08.22,""4,93"""
"31.08.22,""4,99"""
"01.09.22,""5,42"""
"02.09.22,""5,45"""
"03.09.22,""4,75"""
"04.09.22,""3,80"""
"05.09.22,""3,94"""
"06.09.22,""5,04"""
"07.09.22,""4,86"""
"08.09.22,""5,02"""
"09.09.22,""5,52"""
"10.09.22,""4,87"""
"11.09.22,""4,84"""
"12.09.22,""5,04"""
"13.09.22,""4,98"""
"14.09.22,""4,60"""
"15.09.22,""4,95"""
"16.09.22,""5,27"""
"17.09.22,""4,70"""
"18.09.22,""4,49"""
"19.09.22,""5,05"""
"20.09.22,""5,05"""
"21.09.22,""4,79"""
"22.09.22,""5,04"""
"23.09.22,""5,33"""
"24.09.22,""4,70"""
"25.09.22,""5,18"""
"26.09.22,""9,90"""
"27.09.22,""11,95"""
"28.09.22,""5,31"""
"29.09.22,""5,04"""
"30.09.22,""4,90"""
"01.10.22,""4,81"""
"02.10.22,""4,59"""
"03.10.22,""5,13"""
"04.10.22,""5,01"""
"05.10.22,""4,98"""
"06.10.22,""4,83"""
"07.10.22,""5,34"""
"08.10.22,""4,58"""
"09.10.22,""4,52"""
"10.10.22,""4,77"""
"11.10.22,""4,86"""
"12.10.22,""5,29"""
"13.10.22,""5,14"""
"14.10.22,""4,90"""
"15.10.22,""4,31"""
"16.10.22,""4,43"""
"17.10.22,""5,01"""
"18.10.22,""5,47"""
"19.10.22,""4,66"""
"20.10.22,""5,26"""
"21.10.22,""5,24"""
"22.10.22,""4,87"""
"23.10.22,""4,81"""
"24.10.22,""5,09"""
"25.10.22,""4,71"""
"26.10.22,""4,91"""
"27.10.22,""4,77"""
"28.10.22,""5,35"""
"29.10.22,""4,33"""
"30.10.22,""4,72"""
"31.10.22,""4,85"""
"01.11.22,""6,14"""
"02.11.22,""5,72"""
"03.11.22,""5,75"""
"04.11.22,""6,24"""
"05.11.22,""4,86"""
"06.11.22,""4,63"""
"07.11.22,""5,07"""
"08.11.22,""4,62"""
"09.11.22,""4,85"""
"10.11.22,""5,06"""
"11.11.22,""5,24"""
"12.11.22,""4,61"""
"13.11.22,""4,69"""
"14.11.22,""4,82"""
"15.11.22,""4,92"""
"16.11.22,""4,50"""
"17.11.22,""4,78"""
"18.11.22,""5,17"""
"19.11.22,""4,88"""
"20.11.22,""4,97"""
"21.11.22,""5,06"""
"22.11.22,""5,06"""
"23.11.22,""4,49"""
"24.11.22,""3,78"""
"25.11.22,""4,68"""
"26.11.22,""4,90"""
"27.11.22,""4,49"""
"28.11.22,""7,83"""
"29.11.22,""4,98"""
"30.11.22,""5,22"""
"01.12.22,""5,04"""
"02.12.22,""5,10"""
"03.12.22,""4,51"""
"04.12.22,""4,74"""
"05.12.22,""5,08"""
"06.12.22,""5,02"""
"07.12.22,""5,40"""
"08.12.22,""4,99"""
"09.12.22,""5,13"""
"10.12.22,""4,44"""
"11.12.22,""4,48"""
"12.12.22,""5,30"""
"13.12.22,""5,39"""
"14.12.22,""4,99"""
"15.12.22,""4,80"""
"16.12.22,""5,14"""
"17.12.22,""4,25"""
"18.12.22,""4,41"""
"19.12.22,""4,93"""
"20.12.22,""4,53"""
"21.12.22,""4,68"""
"22.12.22,""4,41"""
"23.12.22,""3,85"""
"24.12.22,""3,81"""
"25.12.22,""4,03"""
"26.12.22,""3,78"""
"27.12.22,""4,51"""
"28.12.22,""3,95"""
"29.12.22,""4,09"""
"30.12.22,""3,84"""
"31.12.22,""3,56"""
"01.01.23,""3,74"""
",""4,97"""
